,batsman,Runs_scored,Balls_Faced,Matches_played,Fours,Sixes,Fifties,Hundreds,Highest_score,Average,Strike_rate,Strike_rate_6_Overs,Strike_rate_7-14_Overs,Strike_rate_16-20_Overs
84,STR Binny,880,700,66,66.0,35.0,0.0,0.0,48,20.0,125.71428571428571,65.38461538461539,117.53926701570681,65.38461538461539
85,Harbhajan Singh,829,632,86,79.0,42.0,1.0,0.0,64,14.803571428571429,131.17088607594937,105.79710144927536,102.25563909774436,105.79710144927536
86,PP Shaw,826,605,38,99.0,27.0,6.0,0.0,99,22.324324324324323,136.52892561983472,128.4164859002169,164.51612903225808,128.4164859002169
87,MP Stoinis,825,623,42,65.0,34.0,4.0,0.0,65,27.5,132.42375601926165,106.61157024793388,123.62869198312237,106.61157024793388
88,MS Bisla,798,737,39,93.0,23.0,4.0,0.0,92,21.56756756756757,108.27679782903664,99.80842911877394,123.62637362637362,99.80842911877394
89,JM Bairstow,790,576,21,79.0,31.0,5.0,1.0,114,39.5,137.15277777777777,125.92592592592592,154.1850220264317,125.92592592592592
90,ST Jayasuriya,768,573,30,84.0,39.0,4.0,1.0,114,26.482758620689655,134.03141361256544,126.95852534562212,156.11510791366908,126.95852534562212
91,Shakib Al Hasan,746,613,46,70.0,20.0,2.0,0.0,66,21.941176470588236,121.69657422512235,86.27450980392157,117.5226586102719,86.27450980392157
92,GC Smith,739,691,29,94.0,9.0,4.0,0.0,91,24.633333333333333,106.94645441389291,91.75946547884188,129.8507462686567,91.75946547884188
93,AD Mathews,724,599,41,44.0,29.0,1.0,0.0,65,23.35483870967742,120.86811352253756,68.75,99.64028776978417,68.75
94,TL Suman,676,587,39,55.0,26.0,2.0,0.0,78,22.533333333333335,115.1618398637138,100.49019607843137,119.78021978021978,100.49019607843137
95,AM Nayar,672,588,50,55.0,20.0,0.0,0.0,45,17.23076923076923,114.28571428571429,79.79797979797979,97.92387543252595,79.79797979797979
96,GJ Bailey,663,552,36,59.0,19.0,2.0,0.0,61,22.862068965517242,120.1086956521739,96.40718562874251,89.74358974358974,96.40718562874251
97,V Shankar,654,528,32,44.0,25.0,3.0,0.0,63,31.142857142857142,123.86363636363636,64.0,116.78321678321679,64.0
98,DJ Hooda,625,504,50,32.0,29.0,2.0,0.0,62,17.857142857142858,124.0079365079365,31.57894736842105,117.33870967741936,31.57894736842105
99,JD Ryder,604,466,29,69.0,19.0,4.0,0.0,86,20.82758620689655,129.6137339055794,128.2122905027933,125.0,128.2122905027933
100,PP Chawla,584,541,75,54.0,18.0,0.0,0.0,24,11.68,107.94824399260628,114.28571428571429,85.71428571428571,114.28571428571429
101,HM Amla,577,418,16,60.0,21.0,3.0,2.0,104,44.38461538461539,138.03827751196172,121.12068965517241,131.8181818181818,121.12068965517241
102,CH Morris,551,360,42,39.0,30.0,2.0,0.0,82,22.958333333333332,153.05555555555554,211.11111111111111,113.63636363636364,211.11111111111111
103,CJ Anderson,538,436,29,40.0,31.0,3.0,0.0,95,24.454545454545453,123.39449541284404,75.5813953488372,124.16666666666667,75.5813953488372
104,RS Bopara,531,468,22,39.0,16.0,3.0,0.0,84,27.94736842105263,113.46153846153847,89.47368421052632,104.18848167539267,89.47368421052632
105,JP Faulkner,527,405,45,36.0,23.0,0.0,0.0,46,19.51851851851852,130.12345679012347,73.6842105263158,80.43478260869566,73.6842105263158
