,bowler,matches,total_wickets,total_balls_bowled,total_runs,dot_balls,extra_runs,average,strike_rate,economy,best_figure,boundaries_4-6,most_balls_in_single_over
81,CJ Green,1,0.0,57,24,6.0,0,0.0,0.0,8.0,0,4-0,6
84,CK Kapugedera,3,0.0,57,49,0.0,0,0.0,0.0,16.333333333333332,0,5-3,6
95,DA Warner,1,0.0,13,2,0.0,1,0.0,0.0,2.0,0,0,7
100,DJ Harris,2,0.0,63,26,4.0,0,0.0,0.0,8.666666666666666,0,2-1,6
113,DR Sams,3,0.0,288,114,22.0,5,0.0,0.0,9.5,0,9-5,8
118,F du Plessis,1,0.0,21,16,0.0,0,0.0,0.0,16.0,0,0,6
120,FY Fazal,2,0.0,42,20,1.0,0,0.0,0.0,10.0,0,1-1,6
136,Harpreet Brar,3,0.0,196,89,13.0,1,0.0,0.0,9.88888888888889,0,8-4,7
137,I Malhotra,1,0.0,21,23,0.0,0,0.0,0.0,23.0,0,2-2,6
173,K Goel,6,0.0,238,94,19.0,2,0.0,0.0,8.545454545454545,0,9-2,7
178,K Upadhyay,3,0.0,203,81,20.0,2,0.0,0.0,9.0,0,9-3,7
180,KAJ Roach,2,0.0,196,80,20.0,4,0.0,0.0,10.0,0,10-3,7
192,KS Williamson,2,0.0,63,31,2.0,0,0.0,0.0,10.333333333333334,0,1-2,6
207,LPC Silva,1,0.0,21,21,0.0,0,0.0,0.0,21.0,0,0,6
209,LRPL Taylor,2,0.0,49,24,0.0,1,0.0,0.0,12.0,0,0,7
210,LS Livingstone,1,0.0,21,13,3.0,0,0.0,0.0,13.0,0,0,6
213,M Manhas,3,0.0,147,42,15.0,0,0.0,0.0,6.0,0,2-1,6
219,M Vijay,4,0.0,133,49,8.0,1,0.0,0.0,8.166666666666666,0,6-0,7
223,MA Wood,1,0.0,91,50,5.0,2,0.0,0.0,12.5,0,6-2,7
224,MB Parmar,1,0.0,70,33,4.0,1,0.0,0.0,11.0,0,6-0,7
228,MG Neser,1,0.0,91,62,5.0,1,0.0,0.0,15.5,0,6-4,7
233,MK Lomror,2,0.0,63,27,2.0,0,0.0,0.0,9.0,0,3-0,6
242,Mandeep Singh,2,0.0,42,26,1.0,0,0.0,0.0,13.0,0,1-2,6
243,Mashrafe Mortaza,1,0.0,113,59,6.0,5,0.0,0.0,14.75,0,4-4,8
249,Monu Kumar,1,0.0,72,20,4.0,4,0.0,0.0,10.0,0,2-0,8
256,NJ Rimmington,1,0.0,63,20,9.0,1,0.0,0.0,6.666666666666667,0,3-0,6
257,NL McCullum,2,0.0,105,35,10.0,1,0.0,0.0,7.0,0,1-2,6
