,batsman,Runs_scored,Balls_Faced,Matches_played,Fours,Sixes
229,KK Cooper,116,70,12,9.0,8.0
230,DJM Short,115,102,7,11.0,5.0
231,TG Southee,115,91,13,8.0,4.0
232,M Kartik,113,109,14,7.0,1.0
233,Abdul Samad,111,66,7,8.0,6.0
234,DJ Harris,111,103,4,11.0,5.0
235,LJ Wright,106,63,5,16.0,3.0
236,TK Curran,106,91,8,8.0,3.0
237,JDP Oram,106,110,11,6.0,5.0
238,DS Kulkarni,104,113,20,7.0,2.0
239,JO Holder,104,86,9,9.0,5.0
240,RJ Quiney,103,105,7,12.0,3.0
241,MS Gony,99,76,15,6.0,8.0
242,SD Chitnis,99,92,8,10.0,2.0
243,CJ Ferguson,98,119,8,,
244,MJ Clarke,98,96,6,,
245,MA Starc,96,98,11,,
246,DJ Jacobs,92,101,7,10.0,4.0
247,PR Shah,92,97,9,9.0,2.0
248,S Rana,91,82,8,9.0,1.0
249,AJ Tye,91,79,13,6.0,5.0
250,RT Ponting,91,129,9,5.0,2.0
251,AD Nath,90,99,10,7.0,2.0
252,Iqbal Abdulla,88,86,13,9.0,1.0
253,SL Malinga,88,103,20,6.0,5.0
254,Ankit Sharma,87,69,10,7.0,4.0
255,MK Lomror,87,78,6,5.0,3.0
256,AP Majumdar,87,77,4,7.0,2.0
257,MJ McClenaghan,85,73,20,5.0,7.0
258,RE Levi,83,74,6,10.0,4.0
259,LA Carseldine,81,71,5,,
260,WPUJC Vaas,81,73,11,2.0,3.0
261,Shahid Afridi,81,46,9,7.0,6.0
262,AD Mascarenhas,79,79,11,5.0,1.0
263,DL Chahar,78,58,10,2.0,6.0
264,JR Philippe,78,80,5,9.0,1.0
265,RK Singh,77,79,8,6.0,2.0
266,NM Coulter-Nile,77,68,13,7.0,4.0
267,B Akhil,76,57,11,5.0,5.0
268,IR Jaggi,76,100,7,,
269,TR Birt,75,59,5,9.0,2.0
270,M Klinger,73,78,4,,
271,RR Sarwan,73,78,4,6.0,1.0
272,SE Rutherford,73,55,7,2.0,7.0
273,LS Livingstone,70,48,4,6.0,5.0
274,AA Bilakhia,69,88,7,,
275,RR Powar,67,64,9,6.0,1.0
276,R Sharma,66,77,19,5.0,3.0
277,H Klaasen,66,58,6,5.0,1.0
278,JD Unadkat,64,67,13,6.0,1.0
279,Mohammad Hafeez,64,84,8,7.0,2.0
280,Anirudh Singh,63,69,4,6.0,1.0
281,WD Parnell,63,80,12,4.0,1.0
282,CR Woakes,63,66,11,5.0,2.0
283,A Flintoff,62,57,3,5.0,2.0
284,JDS Neesham,61,64,6,3.0,2.0
285,S Aravind,59,59,10,,
286,Kuldeep Yadav,57,76,10,,
287,WA Mota,56,76,8,,
288,Mohammed Shami,56,57,18,5.0,2.0
289,M Rawat,55,70,11,4.0,1.0
290,I Sharma,55,62,18,4.0,2.0
291,J Suchith,54,48,6,4.0,2.0
292,RR Rossouw,53,51,5,3.0,3.0
293,A Chopra,53,75,6,,
294,Shoaib Malik,52,49,5,,
295,RP Singh,52,78,28,2.0,1.0
296,R Rampaul,51,52,7,3.0,2.0
297,KB Arun Karthik,51,53,8,4.0,1.0
298,RV Gomez,50,53,9,5.0,1.0
299,VR Aaron,50,73,12,2.0,2.0
300,AS Yadav,49,40,6,5.0,2.0
301,AG Paunikar,49,61,5,,
302,SB Bangar,49,58,7,1.0,3.0
303,SN Thakur,48,42,9,5.0,1.0
304,Yashpal Singh,47,67,4,,
305,Mohammed Siraj,46,52,9,4.0,1.0
306,Sandeep Sharma,44,59,21,,
307,LH Ferguson,44,30,3,4.0,1.0
308,Sunny Singh,43,31,5,6.0,1.0
309,AB Barath,42,43,3,5.0,1.0
310,SK Trivedi,42,61,14,3.0,1.0
311,A Nehra,41,63,17,3.0,1.0
312,JJ Bumrah,40,42,11,2.0,1.0
313,YBK Jaiswal,40,44,3,2.0,2.0
314,LPC Silva,40,27,3,5.0,1.0
315,BR Dunk,40,36,3,,
316,MM Patel,39,41,12,,
317,DJ Thornely,39,54,4,2.0,2.0
318,S Nadeem,39,87,19,,
319,Umar Gul,39,19,4,1.0,5.0
320,AUK Pathan,39,26,7,5.0,2.0
321,SP Jackson,38,31,3,,
322,S Narwal,37,29,4,,
323,Joginder Sharma,36,30,5,1.0,2.0
324,AN Ahmed,36,27,6,4.0,1.0
325,L Balaji,36,50,13,2.0,1.0
326,KW Richardson,36,39,4,2.0,1.0
327,Sohail Tanvir,36,31,5,3.0,1.0
328,Anureet Singh,36,47,8,2.0,1.0
329,B Sumanth,35,38,4,,
330,A Kumble,35,49,15,,
331,AP Dole,34,23,2,3.0,1.0
332,A Mithun,34,26,6,4.0,1.0
333,L Ronchi,34,37,5,6.0,1.0
334,S Sreesanth,34,57,12,,
335,D Salunkhe,33,24,3,,
336,N Jagadeesan,33,31,2,,
337,Imran Tahir,33,37,8,,
338,MJ Santner,32,25,2,,
339,Basil Thampi,32,37,7,1.0,1.0
340,CJ Jordan,32,38,6,,
341,RJ Peterson,32,32,5,3.0,1.0
342,AT Carey,32,29,3,,
343,P Simran Singh,31,33,3,3.0,1.0
344,T Taibu,31,26,3,,
345,NS Naik,31,53,4,,
346,S Sriram,31,38,2,,
347,VH Zol,29,26,2,3.0,1.0
348,NA Saini,29,31,5,,
349,J Syed Mohammad,29,27,5,,
350,SB Jakati,28,30,5,,
351,M Markande,27,30,7,,
352,AS Rajpoot,26,41,7,2.0,1.0
353,NL McCullum,26,23,2,,
354,JM Kemp,26,25,2,1.0,1.0
355,AB Dinda,26,50,16,,
356,S Chanderpaul,25,33,3,,
357,A Choudhary,25,20,3,1.0,1.0
358,ER Dwivedi,24,15,2,2.0,2.0
359,PJ Sangwan,24,41,13,,
360,KC Cariappa,24,21,5,,
361,MA Khote,24,22,3,2.0,1.0
362,SW Tait,23,26,5,1.0,1.0
363,BMAJ Mendis,23,27,3,,
364,J Arunkumar,23,24,3,,
365,Shivam Mavi,23,29,6,,
366,YS Chahal,22,54,14,,
367,MS Wade,22,33,3,,
368,GB Hogg,22,22,4,,
369,KL Nagarkoti,22,32,6,,
370,DE Bollinger,21,23,4,1.0,1.0
371,TU Deshpande,21,12,2,2.0,1.0
372,Harpreet Brar,20,14,1,2.0,1.0
373,M Muralitharan,20,30,9,,
374,RR Raje,20,18,5,1.0,1.0
375,Harpreet Singh,20,26,3,,
376,NJ Maddinson,20,21,3,,
377,AC Thomas,20,19,4,1.0,1.0
378,Y Gnaneswara Rao,19,18,1,,
379,Vishnu Vinod,19,26,3,1.0,1.0
380,P Sahu,19,13,2,1.0,1.0
381,R Bishnoi,19,17,3,1.0,2.0
382,P Ray Barman,19,25,1,,
383,DR Martyn,19,26,1,,
384,A Mukund,19,23,2,,
385,R Shukla,19,23,4,,
386,JJ van der Wath,18,17,3,1.0,1.0
387,T Banton,18,22,2,1.0,1.0
388,KMA Paul,18,26,5,1.0,1.0
389,Harmeet Singh,18,12,4,,
390,DS Lehmann,18,19,2,,
391,PV Tambe,18,39,6,,
392,BJ Haddin,18,11,1,2.0,1.0
393,RD Chahar,17,17,6,,
394,Parvez Rasool,17,20,4,,
395,PP Ojha,16,45,19,,
396,CK Kapugedera,16,24,3,,
397,SD Lad,15,13,1,1.0,1.0
398,AS Joseph,15,13,1,,
399,SA Abbott,15,13,2,1.0,1.0
400,JL Pattinson,15,13,2,,
401,GR Napier,15,16,1,,
402,C Madan,15,21,1,,
403,I Udana,15,11,4,1.0,1.0
